,District,Subdistrict,Latitude,Longitude
122,Prawet,Prawet,13.72029,100.67966
123,Prawet,Nong Bon,13.67667,100.66083
124,Prawet,Dokmai,13.70005,100.68503
125,Khlong Toei,Khlong Toei,13.71617,100.57207
126,Khlong Toei,Khlong Tan,13.71652,100.57305
127,Khlong Toei,Phra Khanong,13.71282,100.58588
128,Suan Luang,Suan Luang,13.72589,100.62798
129,Suan Luang,On Nut,13.70905,100.61888
130,Suan Luang,Phatthanakan,13.73951,100.60106
131,Chom Thong,Bang Khun Thian,13.69918,100.46085
132,Chom Thong,Bang Kho,13.70204,100.46978
133,Chom Thong,Bang Mot,13.67076,100.46045
134,Chom Thong,Chom Thong,13.68668,100.46304
135,Don Mueang,Si Kan,13.94208,100.57995
136,Don Mueang,Don Mueang,13.92524,100.59359
137,Don Mueang,Sanambin,13.91939,100.60102
138,Ratchathewi,Thung Phaya Thai,13.76598,100.52766
139,Ratchathewi,Thanon Phaya Thai,13.75671,100.54245
140,Ratchathewi,Thanon Phetchaburi,13.75572,100.52431
141,Ratchathewi,Makkasan,13.753,100.54916
142,Lat Phrao,Lat Phrao,13.82484,100.60848
143,Lat Phrao,Chorakhe Bua,13.84414,100.59872
144,Watthana,Khlong Toei Nuea,13.73984,100.55957
145,Watthana,Khlong Tan Nuea,13.73894,100.59489
146,Watthana,Phra Khanong Nuea,13.71307,100.59436
147,Bang Khae,Bang Khae,13.69402,100.4027
148,Bang Khae,Bang Khae Nuea,13.69402,100.4027
149,Bang Khae,Bang Phai,13.74491,100.3938
150,Bang Khae,Lak Song,13.67127,100.39429
151,Lak Si,Thung Song Hong,13.8566,100.54865
152,Lak Si,Talat Bang Khen,13.87803,100.58465
153,Sai Mai,Sai Mai,13.92233,100.6598
154,Sai Mai,O Ngoen,13.91818,100.6717
155,Sai Mai,Khlong Thanon,13.88757,100.62024
156,Khan Na Yao,Khan Na Yao,13.82167,100.675
157,Khan Na Yao,Ram Inthra,13.82987,100.67167
158,Saphan Sung,Saphan Sung,13.76927,100.68123
159,Saphan Sung,Rat Phatthana,13.77455,100.7063
160,Saphan Sung,Thap Chang,13.74034,100.68793
161,Wang Thonglang,Wang Thonglang,13.77889,100.60935
162,Wang Thonglang,Saphan Song,13.76761,100.60461
163,Wang Thonglang,Khlong Chaokhun Sing,13.77824,100.62969
164,Wang Thonglang,Phlapphla,13.76761,100.60461
165,Khlong Sam Wa,Sam Wa Tawan Tok,13.89584,100.71471
166,Khlong Sam Wa,Sam Wa Tawan Ok,13.88469,100.76409
167,Khlong Sam Wa,Bang Chan,13.84097,100.69914
168,Khlong Sam Wa,Sai Kong Din,13.85167,100.73195
169,Khlong Sam Wa,Sai Kong Din Tai,13.84273,100.78232
170,Bang Na,Bang Na Nuea,13.67856,100.61889
171,Bang Na,Bang Na Tai,13.66387,100.6133
172,Thawi Watthana,Thawi Watthana,13.75626,100.35102
173,Thawi Watthana,Sala Thammasop,13.79504,100.39971
174,Thung Khru,Bang Mot,13.64697,100.49617
175,Thung Khru,Thung Khru,13.62023,100.49414
176,Bang Bon,Bang Bon Nuea,13.6726,100.3848
177,Bang Bon,Bang Bon Tai,13.6726,100.3848
178,Bang Bon,Khlong Bang Phran,13.68127,100.42442
179,Bang Bon,Khlong Bang Bon,13.68127,100.42442
